㑩	wlqy
麦	gt,gtu
麸	gqgy
麹	gqqo
麺	gqd,gqdf
麽	ossc
黡	ddlo
黩	lfod
黪	lfoe
黾	kjn,kjnb
鼋	fqk,fqkn
鼍	kkl,kkln
鼹	enuv
齑	yjh,yjhg
龛	wgky
