⺀	〔※󰁦※󰄼※󰄼※※☯※uyy※〕
⻏	〔※󰂏※󰁋※󰂺※※☯※bnh※〕
⻐	〔※󰃵※󰄋※󰂶※󰁐※☯※qtgn※〕
⻑	〔※󰀍※󰀖※󰁧※※☯※deu※〕
⻒	〔※󰂞※󰂶※󰂺※󰄼※☯※dghy※〕
⻓	〔※󰄋※󰀃※󰂃※󰀦※☯※tayi※〕
⻔	〔※󰄙※󰄼※󰂺※󰂁※☯※uyhn※〕
⻕	〔※󰄋※󰂺※󰁃※󰁃※☯※thnn※〕
⻖	〔※󰂏※󰁋※󰂺※※☯※bnh※〕
⻗	〔※󰀙※󰂶※󰂺※󰄼※☯※fghy※〕
⻘	〔※󰁽※󰀑※󰀘※※☯※gef※〕
⻙	〔※󰂭※󰂁※󰂺※󰀵※☯※fnhk※〕
⻚	〔※󰂢※󰃚※󰁧※※☯※dmu※〕
⻛	〔※󰁰※󰄄※󰀦※※☯※wri※〕
⻜	〔※󰄺※󰁨※󰀦※※☯※nui※〕
⻝	〔※󰄤※󰄼※󰄣※󰁧※☯※wyvu※〕
⻞	〔※󰅁※󰅟※󰄋※󰂶※☯※wvtg※〕
⻟	〔※󰁱※󰅞※󰄋※󰄼※☯※wvty※〕
⻠	〔※󰃸※󰁐※󰀅※※☯※qnb※〕
⻡	〔※󰄞※󰂢※󰂼※󰀘※☯※vdhf※〕
⻢	〔※󰀊※󰂶※󰀌※※☯※cgd※〕
⻣	〔※󰀾※󰂧※󰀘※※☯※mef※〕
⻤	〔※󰃽※󰁜※󰂙※󰀦※☯※rqci※〕
⻥	〔※󰁢※󰂶※󰀘※※☯※qgf※〕
⻦	〔※󰁠※󰂶※󰀌※※☯※qgd※〕
⻧	〔※󰀥※󰃒※󰄄※󰁧※☯※hlru※〕
⻨	〔※󰁽※󰄐※󰁧※※☯※gtu※〕
⻩	〔※󰁺※󰃙※󰄦※󰁧※☯※amwu※〕
⻪	〔※󰃏※󰃋※󰄻※󰀅※☯※kjnb※〕
⻫	〔※󰄷※󰀳※󰀘※※☯※yjf※〕
⻬	〔※󰄷※󰀯※󰀬※※☯※yjj※〕
⻭	〔※󰂾※󰃪※󰂔※󰀬※☯※hobj※〕
⻮	〔※󰂾※󰄤※󰂔※󰀬※☯※hwbj※〕
⻯	〔※󰄓※󰃊※󰄻※󰀅※☯※ujnb※〕
⻰	〔※󰁼※󰁳※󰄼※󰀦※☯※dxyi※〕
⻱	〔※󰄋※󰁵※󰀌※※☯※txd※〕
⻲	〔※󰃸※󰃊※󰃊※󰄻※☯※qjjn※〕
⻳	〔※󰃸※󰃊※󰄻※󰀅※☯※qjnb※〕
⼀	〔※󰂶※󰂶※󰃒※󰃒※☯※ggll※〕
⼁	〔※󰂺※󰂺※󰃒※󰃒※☯※hhll※〕
⼂	〔※󰄼※󰄼※󰃒※󰃒※☯※yyll※〕
⼃	〔※󰄋※󰄋※󰃒※󰃒※☯※ttll※〕
⼄	〔※󰃝※󰃝※󰃒※󰃒※☯※nnll※〕
⼅	〔※󰂻※󰂻※󰃒※󰃒※☯※hhll※〕
⼆	〔※󰂭※󰂶※󰂶※※☯※fgg※〕
⼇	〔※󰄶※󰄼※󰂶※※☯※yyg※〕
⼈	〔※󰄤※󰄤※󰄤※󰄤※☯※wwww※〕
⼉	〔※󰃺※󰄋※󰄻※※☯※qtn※〕
⼊	〔※󰄋※󰂃※󰀦※※☯※tyi※〕
⼋	〔※󰄦※󰄋※󰂃※※☯※wty※〕
⼌	〔※󰃜※󰂺※󰂁※※☯※mhn※〕
⼍	〔※󰃱※󰄼※󰃦※※☯※pyn※〕
⼎	〔※󰄑※󰄼※󰀞※※☯※uyg※〕
⼏	〔※󰄨※󰄋※󰁊※※☯※wtn※〕
⼐	〔※󰂔※󰄃※󰂺※※☯※bnh※〕
⼑	〔※󰄠※󰂁※󰄋※※☯※vnt※〕
⼒	〔※󰂫※󰂁※󰄋※☯※ent※☯※lì※〕
⼓	〔※󰃷※󰄋※󰂁※※☯※qtn※〕
⼔	〔※󰄮※󰄋※󰄻※※☯※xtn※〕
⼕	〔※󰂋※󰂶※󰄃※※☯※agn※〕
⼖	〔※󰂋※󰂶※󰄃※※☯※agn※〕
⼗	〔※󰂱※󰂶※󰂺※☯※fgh※☯※shí※〕
⼘	〔※󰂿※󰂺※󰄼※※☯※hhy※〕
⼙	〔※󰂕※󰂁※󰂺※※☯※bnh※〕
⼚	〔※󰂡※󰂶※󰄋※※☯※dgt※〕
⼛	〔※󰂙※󰂂※󰄼※※☯※cny※〕
⼜	〔※󰂘※󰂘※󰂘※󰂘※☯※cccc※〕
⼝	〔※󰃏※󰃏※󰃏※󰃏※☯※kkkk※〕
⼞	〔※󰃒※󰂺※󰁈※󰂶※☯※lhng※〕
⼟	〔※󰂮※󰂮※󰂮※󰂮※☯※ffff※〕
⼠	〔※󰂯※󰂶※󰂺※󰂶※☯※fghg※☯※shì※〕
⼡	〔※󰄏※󰄋※󰃦※󰄲※☯※ttny※〕
⼢	〔※󰄏※󰄋※󰃦※󰄲※☯※ttny※〕
⼣	〔※󰃹※󰄋※󰃦※󰄼※☯※qtny※〕
⼤	〔※󰂝※󰂝※󰂝※󰂝※☯※dddd※〕
⼥	〔※󰄟※󰄟※󰄟※󰄟※☯※vvvv※〕
⼦	〔※󰂍※󰂍※󰂍※󰂍※☯※bbbb※〕
⼧	〔※󰃰※󰄼※󰄼※󰃦※☯※pyyn※〕
⼨	〔※󰂳※󰂶※󰂻※󰄼※☯※fghy※☯※cùn※〕
⼩	〔※󰃅※󰂻※󰄼※󰄼※☯※ihyy※〕
⼪	〔※󰁼※󰄻※󰁫※※☯※dnv※〕
⼫	〔※󰃡※󰁈※󰂶※󰄋※☯※nngt※〕
⼬	〔※󰂔※󰂺※󰀵※※☯※bhk※〕
⼭	〔※󰃘※󰃘※󰃘※󰃘※☯※mmmm※〕
⼮	〔※󰄞※󰁑※󰁑※󰁑※☯※vnnn※〕
⼯	〔※󰂆※󰂆※󰂆※󰂆※☯※aaaa※〕
⼰	〔※󰃟※󰁈※󰂶※󰄻※☯※nngn※〕
⼱	〔※󰃜※󰂺※󰀵※※☯※mhk※〕
⼲	〔※󰂰※󰂶※󰂶※󰂺※☯※fggh※☯※gān※gàn※〕
⼴	〔※󰃫※󰄼※󰂶※󰄋※☯※oygt※〕
⼵	〔※󰃯※󰁌※󰄲※※☯※pny※〕
⼶	〔※󰂉※󰂶※󰄋※󰂺※☯※agth※〕
⼷	〔※󰀁※󰄼※󰀦※※☯※ayi※〕
⼸	〔※󰄬※󰁈※󰂶※󰁔※☯※xngn※〕
⼹	〔※󰁭※󰁈※󰂶※󰂶※☯※vngg※〕
⼺	〔※󰂥※󰄋※󰄋※󰄋※☯※ettt※☯※shān※xiǎn※〕
⼻	〔※󰄎※󰄋※󰄋※󰂺※☯※ttth※〕
⼼	〔※󰃢※󰄼※󰄻※󰄼※☯※nyny※〕
⼽	〔※󰂇※󰂶※󰁒※󰄼※☯※agny※〕
⼿	〔※󰃾※󰄋※󰂶※󰂻※☯※rtgh※〕
⽀	〔※󰂱※󰂘※󰁧※※☯※fcu※☯※zhī※〕
⽁	〔※󰀥※󰂘※󰁧※※☯※hcu※〕
⽂	〔※󰄷※󰄼※󰂶※󰂃※☯※yygy※〕
⽃	〔※󰁦※󰂱※󰀵※※☯※ufk※〕
⽄	〔※󰄀※󰄋※󰄋※󰂺※☯※rtth※〕
⽅	〔※󰄸※󰄶※󰂶※󰄋※☯※yygt※〕
⽆	〔※󰂭※󰁜※󰁫※※☯※fqv※〕
⽇	〔※󰃊※󰃊※󰃊※󰃊※☯※jjjj※〕
⽈	〔※󰃋※󰂺※󰁈※󰂶※☯※jhng※〕
⽉	〔※󰂧※󰂧※󰂧※󰂧※☯※eeee※☯※yuè※〕
⽊	〔※󰄅※󰄅※󰄅※󰄅※☯※ssss※〕
⽋	〔※󰃸※󰄤※󰁧※※☯※qwu※〕
⽌	〔※󰂾※󰂺※󰂶※󰂶※☯※hhgg※〕
⽍	〔※󰂶※󰃹※󰀦※※☯※gqi※〕
⽎	〔※󰄨※󰂘※󰁧※※☯※wcu※〕
⽏	〔※󰂁※󰄃※󰂶※󰂺※☯※nngh※〕
⽐	〔※󰁴※󰄮※󰁀※※☯※xxn※〕
⽑	〔※󰂬※󰄋※󰂶※󰄻※☯※etgn※☯※máo※〕
⽒	〔※󰁚※󰀁※󰁫※※☯※qav※〕
⽓	〔※󰄂※󰄋※󰂶※󰄺※☯※rtgn※〕
⽔	〔※󰃂※󰃂※󰃂※󰃂※☯※iiii※〕
⽕	〔※󰃩※󰃩※󰃩※󰃩※☯※oooo※☯※huǒ※〕
⽖	〔※󰃼※󰂺※󰂃※󰀦※☯※rhyi※〕
⽗	〔※󰄦※󰄄※󰁧※※☯※wru※〕
⽘	〔※󰄄※󰄄※󰁧※※☯※rru※〕
⽙	〔※󰄗※󰁏※󰂺※󰄋※☯※unht※〕
⽚	〔※󰄋※󰂺※󰂶※󰁈※☯※thgn※〕
⽛	〔※󰀄※󰂻※󰄋※󰀏※☯※ahte※〕
⽜	〔※󰄋※󰀟※󰀵※※☯※tgk※〕
⽝	〔※󰂣※󰂶※󰄋※󰄼※☯※dgty※〕
⽞	〔※󰄼※󰄩※󰁧※※☯※yxu※〕
⽟	〔※󰂷※󰄼※󰀦※※☯※gyi※〕
⽠	〔※󰃼※󰂙※󰂃※󰀦※☯※rcyi※〕
⽡	〔※󰂶※󰁐※󰁊※󰄼※☯※gnny※☯※wǎ※wà※〕
⽢	〔※󰂴※󰂶※󰂺※󰂶※☯※fghg※☯※gān※〕
⽣	〔※󰄋※󰁽※󰀌※※☯※tgd※〕
⽤	〔※󰂨※󰄋※󰂁※󰂺※☯※etnh※☯※yòng※〕
⽥	〔※󰃐※󰃐※󰃐※󰃐※☯※llll※〕
⽦	〔※󰃦※󰁾※󰀦※※☯※nhi※〕
⽧	〔※󰄛※󰄼※󰂶※󰀞※☯※uygg※〕
⽨	〔※󰄧※󰁈※󰄼※󰄼※☯※wnyy※〕
⽩	〔※󰃽※󰃽※󰃽※󰃽※☯※rrrr※〕
⽪	〔※󰂗※󰃦※󰄋※󰂃※☯※bnty※☯※pí※〕
⽫	〔※󰃕※󰂺※󰁈※󰂶※☯※lhng※〕
⽬	〔※󰂼※󰂼※󰂼※󰂼※☯※hhhh※〕
⽭	〔※󰁻※󰃦※󰂻※󰄋※☯※cnht※〕
⽮	〔※󰁿※󰂝※󰁧※※☯※tdu※〕
⽯	〔※󰂠※󰂶※󰄋※󰂶※☯※dgtg※〕
⽰	〔※󰂭※󰃅※󰁧※※☯※fiu※〕
⽱	〔※󰃜※󰂺※󰀞※󰄼※☯※mhgy※〕
⽲	〔※󰄌※󰄌※󰄌※󰄌※☯※tttt※〕
⽳	〔※󰃰※󰄦※󰁧※※☯※pwu※〕
⽴	〔※󰄓※󰄓※󰄓※󰄓※☯※uuuu※〕
⽵	〔※󰁿※󰂺※󰁿※󰂻※☯※thth※〕
⽶	〔※󰃪※󰄼※󰄋※󰂃※☯※oyty※〕
⽷	〔※󰄩※󰃅※󰁧※※☯※xiu※〕
⽸	〔※󰁿※󰂱※󰂔※󰀬※☯※tfbj※〕
⽹	〔※󰃜※󰄄※󰄄※󰀦※☯※mrri※〕
⽺	〔※󰄜※󰄼※󰄋※󰂺※☯※uyth※〕
⽻	〔※󰃥※󰂁※󰄼※󰀞※☯※nnyg※〕
⽼	〔※󰂮※󰄋※󰄮※󰀅※☯※ftxb※〕
⽽	〔※󰂢※󰃜※󰀭※󰀬※☯※dmjj※〕
⽾	〔※󰄋※󰂵※󰀦※※☯※tfi※〕
⽿	〔※󰂐※󰂶※󰂺※󰂶※☯※bghg※☯※ěr※〕
⾀	〔※󰁬※󰀟※󰀵※※☯※vgk※〕
⾁	〔※󰃜※󰄤※󰄤※󰀦※☯※mwwi※〕
⾂	〔※󰂋※󰂺※󰁃※󰂺※☯※ahnh※〕
⾃	〔※󰄋※󰂼※󰀌※※☯※thd※〕
⾄	〔※󰂶※󰂙※󰂮※󰀘※☯※gcff※〕
⾅	〔※󰂪※󰄋※󰂺※󰂶※☯※ethg※☯※jiù※〕
⾆	〔※󰄋※󰂟※󰀌※※☯※tdd※〕
⾇	〔※󰃹※󰂅※󰀢※※☯※qgh※〕
⾈	〔※󰄋※󰁪※󰀦※※☯※tui※〕
⾉	〔※󰄣※󰁈※󰂶※󰂃※☯※vngy※〕
⾊	〔※󰃸※󰂚※󰀅※※☯※qcb※〕
⾋	〔※󰂔※󰄋※󰂔※󰂺※☯※btbh※〕
⾌	〔※󰃀※󰂺※󰂶※󰄻※☯※hhgn※〕
⾍	〔※󰃍※󰂺※󰁈※󰄼※☯※jhny※〕
⾎	〔※󰄋※󰃕※󰀌※※☯※tld※〕
⾏	〔※󰄎※󰂶※󰄆※󰀢※☯※tgsh※〕
⾐	〔※󰄶※󰀔※󰁧※※☯※yeu※〕
⾑	〔※󰂶※󰀿※󰂔※󰀵※☯※gmbk※〕
⾒	〔※󰂼※󰃺※󰀅※※☯※hqb※〕
⾔	〔※󰄳※󰄳※󰄳※󰄳※☯※yyyy※〕
⾕	〔※󰄦※󰄤※󰃏※󰀘※☯※wwkf※〕
⾖	〔※󰂶※󰃏※󰄕※󰀘※☯※gkuf※〕
⾗	〔※󰂶※󰀓※󰀦※※☯※gei※〕
⾘	〔※󰂩※󰄋※󰄼※󰄋※☯※etyt※☯※zhì※〕
⾙	〔※󰃛※󰂺※󰁈※󰄼※☯※mhny※〕
⾚	〔※󰂮※󰁖※󰁧※※☯※fou※〕
⾛	〔※󰂮※󰁾※󰁧※※☯※fhu※☯※zǒu※〕
⾜	〔※󰃏※󰁾※󰁧※※☯※khu※〕
⾝	〔※󰄋※󰀽※󰂜※󰄋※☯※tmdt※〕
⾞	〔※󰃗※󰂶※󰂺※󰂺※☯※lghh※〕
⾟	〔※󰄔※󰄼※󰂶※󰂺※☯※uygh※〕
⾠	〔※󰂡※󰂭※󰀖※󰀦※☯※dfei※〕
⾡	〔※󰂥※󰁾※󰁧※※☯※ehu※☯※chuò※〕
⾢	〔※󰃏※󰂚※󰀅※※☯※kcb※〕
⾣	〔※󰄇※󰂶※󰀌※※☯※sgd※〕
⾤	〔※󰄋※󰃪※󰀦※※☯※toi※〕
⾥	〔※󰃋※󰂮※󰀌※※☯※jfd※〕
⾦	〔※󰃴※󰃴※󰃴※󰃴※☯※qqqq※〕
⾧	〔※󰀍※󰀖※󰁧※※☯※deu※〕
⾨	〔※󰄚※󰂺※󰁈※󰂶※☯※uhng※〕
⾩	〔※󰄋※󰃧※󰂱※󰀬※☯※tnfj※〕
⾪	〔※󰁬※󰃂※󰀦※※☯※vii※〕
⾫	〔※󰄥※󰁷※󰀝※※☯※wyg※〕
⾬	〔※󰂲※󰂶※󰂺※󰄼※☯※fghy※☯※yǔ※yù※〕
⾭	〔※󰁽※󰃜※󰂺※󰂶※☯※gmhg※〕
⾮	〔※󰂺※󰂜※󰂺※󰂜※☯※hdhd※〕
⾯	〔※󰂢※󰃒※󰀭※󰂭※☯※dljf※〕
⾰	〔※󰂊※󰀜※󰀬※※☯※afj※〕
⾱	〔※󰁆※󰃏※󰂅※󰀬※☯※nkgj※〕
⾲	〔※󰂺※󰂜※󰂺※󰂶※☯※hdhg※〕
⾳	〔※󰄓※󰃊※󰀘※※☯※ujf※〕
⾴	〔※󰂢※󰃛※󰁧※※☯※dmu※〕
⾵	〔※󰁰※󰄋※󰃍※󰀦※☯※wtji※〕
⾶	〔※󰄺※󰁨※󰄋※󰀯※☯※nutj※〕
⾷	〔※󰄤※󰄼※󰄣※󰁧※☯※wyvu※〕
⾸	〔※󰄕※󰄋※󰂼※󰀘※☯※uthf※〕
⾹	〔※󰄌※󰃊※󰀘※※☯※tjf※〕
⾺	〔※󰀋※󰃨※󰀦※※☯※coi※〕
⾻	〔※󰅏※󰂧※󰀘※※☯※mef※〕
⾼	〔※󰁸※󰃜※󰃏※󰀘※☯※ymkf※〕
⾽	〔※󰂞※󰂥※󰁥※※☯※det※〕
⾾	〔※󰅌※󰂺※󰂶※󰂻※☯※uhgh※〕
⾿	〔※󰁘※󰂔※󰄮※󰀅※☯※obxb※☯※chàng※〕
⿀	〔※󰂶※󰃏※󰃜※󰂺※☯※gkmh※〕
⿁	〔※󰃽※󰁜※󰂙※󰀦※☯※rqci※〕
⿂	〔※󰁢※󰃨※󰁧※※☯※qou※〕
⿃	〔※󰁟※󰃨※󰀦※※☯※qoi※〕
⿄	〔※󰀥※󰃒※󰁘※󰁧※☯※hlou※〕
⿅	〔※󰁙※󰁴※󰄮※󰁫※☯※oxxv※〕
⿇	〔※󰃫※󰂱※󰀯※󰃺※☯※ofjq※〕
⿉	〔※󰄌※󰄤※󰃃※󰁧※☯※twiu※〕
⿊	〔※󰀹※󰂮※󰃨※󰁧※☯※lfou※〕
⿌	〔※󰄱※󰄃※󰁈※󰂶※☯※xnng※〕
⿍	〔※󰂼※󰁕※󰂢※󰁈※☯※hndn※〕
⿎	〔※󰂯※󰃏※󰄕※󰂘※☯※fkuc※〕
⿏	〔※󰂪※󰁐※󰁦※󰁒※☯※enun※☯※shǔ※〕
⿐	〔※󰄋※󰂼※󰃐※󰀯※☯※thlj※〕
⿑	〔※󰀴※󰀳※󰀘※※☯※yjf※〕
⿒	〔※󰂾※󰀆※󰀬※※☯※hbj※〕
⿓	〔※󰄓※󰀑※󰂶※󰂜※☯※uegd※〕
⿔	〔※󰃸※󰅢※󰀘※※☯※qxf※〕
⿕	〔※󰄤※󰂶※󰃏※󰂈※☯※wgka※〕
〇	〔※〇※〇※〇※〇※☯※llll※☯※líng※〕
㇀	〔※󰂶※󰂶※󰃒※󰃒※☯※ggll※〕
㇁	〔※󰂻※󰂻※󰃒※󰃒※☯※hhll※〕
㇂	〔※󰁒※󰁒※󰃒※󰃒※☯※nnll※〕
㇃	〔※󰁒※󰁒※󰃒※󰃒※☯※nnll※〕
㇄	〔※󰁏※󰁏※󰃒※󰃒※☯※nnll※〕
㇅	〔※󰁎※󰁎※󰃒※󰃒※☯※nnll※〕
㇆	〔※󰂁※󰂁※󰃒※󰃒※☯※nnll※〕
㇇	〔※󰃦※󰃦※󰃒※󰃒※☯※nnll※〕
㇈	〔※󰁊※󰁊※󰃒※󰃒※☯※nnll※〕
㇉	〔※󰁔※󰁔※󰃒※󰃒※☯※nnll※〕
㇊	〔※󰁉※󰁉※󰃒※󰃒※☯※nnll※〕
㇋	〔※󰁌※󰁌※󰃒※󰃒※☯※nnll※〕
㇌	〔※󰁋※󰁋※󰃒※󰃒※☯※nnll※〕
㇍	〔※󰁎※󰁎※󰃒※󰃒※☯※nnll※〕
㇎	〔※󰁈※󰁈※󰁫※※☯※nnv※〕
㇏	〔※󰂃※󰂃※󰃒※󰃒※☯※yyll※〕
㇐	〔※󰂶※󰂶※󰃒※󰃒※☯※ggll※〕
㇑	〔※󰂺※󰂺※󰃒※󰃒※☯※hhll※〕
㇒	〔※󰄋※󰄋※󰃒※󰃒※☯※ttll※〕
㇓	〔※󰄋※󰄋※󰃒※󰃒※☯※ttll※〕
㇔	〔※󰄼※󰄼※󰃒※󰃒※☯※yyll※〕
㇕	〔※󰁈※󰁈※󰃒※󰃒※☯※nnll※〕
㇖	〔※󰃦※󰃦※󰃒※󰃒※☯※nnll※〕
㇗	〔※󰄃※󰄃※󰃒※󰃒※☯※nnll※〕
㇘	〔※󰂶※󰂺※󰀵※※☯※ghk※〕
㇙	〔※󰁐※󰁐※󰃒※󰃒※☯※nnll※〕
㇚	〔※󰂻※󰂻※󰃒※󰃒※☯※hhll※〕
㇛	〔※󰁑※󰁑※󰃒※󰃒※☯※nnll※〕
㇜	〔※󰂂※󰂂※󰃒※󰃒※☯※nnll※〕
㇝	〔※󰄋※󰄲※󰀦※※☯※tyi※〕
㇞	〔※󰁕※󰁕※󰃒※󰃒※☯※nnll※〕
㇟	〔※󰄻※󰄻※󰃒※󰃒※☯※nnll※〕
㇠	〔※󰃝※󰃝※󰃒※󰃒※☯※nnll※〕
㇡	〔※󰁍※󰁍※󰃒※󰃒※☯※nnll※〕
㇢	〔※󰁇※󰁇※󰃒※󰃒※☯※nnll※〕
㇣	〔※󰁀※󰁀※󰃒※󰃒※☯※nnll※〕
㐀	〔※󰂺※󰂶※󰀥※󰂶※☯※hghg※☯※qiū※〕
㐁	〔※󰂶※󰃒※󰄤※󰀦※☯※glwi※☯※tiàn※〕
㐂	〔※󰂌※󰂌※󰂌※󰀅※☯※aaab※☯※xǐ※〕
㐃	〔※󰃒※󰂺※󰀵※☯※lhk※〕
㐄	〔※󰂅※󰂶※󰂂※󰂺※☯※ggnh※〕
㐅	〔※󰄄※󰄋※󰄼※☯※rty※☯※wǔ※〕
㐆	〔※󰃼※󰄢※󰂁※󰁫※☯※rvnv※☯※yǐn※yī※〕
㐇	〔※󰄡※󰃝※󰀅※☯※vnb※☯※jiǔ※〕
㐈	〔※󰄋※󰂃※󰃝※󰀅※☯※tynb※☯※rù※〕
㐉	〔※󰄆※󰃝※󰀅※☯※snb※☯※dīng※〕
㐊	〔※󰂯※󰃝※󰀅※☯※fnb※☯※shì※〕
㐋	〔※󰂮※󰃝※󰀅※☯※fnb※☯※tǔ※〕
㐌	〔※󰁿※󰂓※󰀅※☯※tbb※☯※sì※yí※〕
㐍	〔※󰂦※󰃝※󰀅※☯※enb※☯※zhǎo※〕
㐎	〔※󰄷※󰃝※󰀅※☯※ynb※☯※wén※〕
㐏	〔※󰂸※󰃝※󰀅※☯※gnb※☯※wǔ※〕
㐐	〔※󰄟※󰂘※󰃝※󰀅※☯※vcnb※☯※nú※〕
㐑	〔※󰄐※󰁦※󰃝※󰀅※☯※tunb※☯※dōng※〕
㐒	〔※󰄠※󰃏※󰃝※󰀅※☯※vknb※☯※zhào※〕
㐓	〔※󰄆※󰃏※󰃝※󰀅※☯※sknb※☯※kě※〕
㐔	〔※󰁸※󰃝※󰀅※☯※ynb※☯※xiǎng※〕
㐕	〔※󰃙※󰃝※󰀅※☯※mnb※〕
㐖	〔※󰂯※󰃏※󰄻※󰁀※☯※fknn※☯※yè※〕
㐗	〔※󰂮※󰄋※󰄮※󰃝※☯※ftxn※☯※lǎo※〕
㐘	〔※󰃪※󰃝※󰀅※☯※onb※☯※mǐ※〕
㐙	〔※󰂶※󰃏※󰄕※󰃝※☯※gkun※☯※dòu※〕
㐚	〔※󰂸※󰃏※󰃝※󰀅※☯※gknb※☯※wú※〕
